Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
149,100073491,Yellow,13-20,17,1,PSMD8,-,-,Ensembl:ENSOANG00000042903,5,"proteasome 26S subunit, non-ATPase 8",protein-coding,"26S proteasome non-ATPase regulatory subunit 8|proteasome (prosome, macropain) 26S subunit, non-ATPase, 8",Animal
150,100073492,Yellow,13-20,16,1,LOC100073492,-,-,Ensembl:ENSOANG00000014732,18,cytochrome P450 4B1-like,protein-coding,cytochrome P450 4B1-like,Animal
151,100073496,Yellow,13-20,19,1,LOC100073496,-,-,Ensembl:ENSOANG00000047615,5,gap junction delta-2 protein-like,protein-coding,gap junction delta-2 protein-like,Animal
152,100073498,Yellow,21-28,26,1,PARK7,-,-,Ensembl:ENSOANG00000044930,5,Parkinsonism associated deglycase,protein-coding,protein/nucleic acid deglycase DJ-1|parkinson protein 7,Animal
153,100073499,Green,21-28,25,0,MYF5,-,-,Ensembl:ENSOANG00000004853,14,myogenic factor 5,protein-coding,myogenic factor 5,Animal
154,100073500,Yellow,21-28,27,1,LCAT,-,-,Ensembl:ENSOANG00000013844,X1,lecithin-cholesterol acyltransferase,protein-coding,phosphatidylcholine-sterol acyltransferase,Animal
155,100073501,Yellow,21-28,26,1,SYNPR,-,-,Ensembl:ENSOANG00000001762,X1,synaptoporin,protein-coding,synaptoporin,Animal
156,100073502,Red,13-20,18,1,ALKBH1,-,-,-,1,"alkB homolog 1, histone H2A dioxygenase",protein-coding,"nucleic acid dioxygenase ALKBH1|alkB, alkylation repair homolog 1",Animal
157,100073503,Yellow,21-28,22,0,SIPA1L1,-,-,Ensembl:ENSOANG00000014068,1,signal induced proliferation associated 1 like 1,protein-coding,signal-induced proliferation-associated 1-like protein 1,Animal
158,100073504,Yellow,13-20,14,1,SORL1,-,-,Ensembl:ENSOANG00000001772,11,sortilin related receptor 1,protein-coding,"sortilin-related receptor|sortilin-related receptor, L(DLR class) A repeats-containing",Animal
159,100073505,Yellow,13-20,17,1,COPG1,-,COPG,Ensembl:ENSOANG00000001854,X1,COPI coat complex subunit gamma 1,protein-coding,coatomer subunit gamma-1|coatomer protein complex subunit gamma 1,Animal
160,100073506,Red,13-20,16,1,SLC16A10,-,-,-,19,solute carrier family 16 member 10,protein-coding,"monocarboxylate transporter 10|solute carrier family 16 (aromatic amino acid transporter), member 10",Animal
161,100073507,Green,21-28,21,1,RPS21,-,-,Ensembl:ENSOANG00000003361,8,ribosomal protein S21,protein-coding,40S ribosomal protein S21,Animal
162,100073509,Yellow,21-28,23,1,EIF4EBP3,-,-,Ensembl:ENSOANG00000001493,X2,eukaryotic translation initiation factor 4E binding protein 3,protein-coding,eukaryotic translation initiation factor 4E-binding protein 3,Animal
163,100073510,Red,13-20,15,1,ATXN7L2,-,-,Ensembl:ENSOANG00000011501,7,ataxin 7 like 2,protein-coding,ataxin-7-like protein 2,Animal
164,100073511,Yellow,13-20,15,0,NFYB,-,-,-,14,nuclear transcription factor Y subunit beta,protein-coding,"nuclear transcription factor Y subunit beta|nuclear transcription factor Y, beta",Animal
165,100073512,Yellow,13-20,19,1,CHL1,-,-,Ensembl:ENSOANG00000003342,X1,cell adhesion molecule L1 like,protein-coding,neural cell adhesion molecule L1-like protein|cell adhesion molecule with homology to L1CAM (close homolog of L1),Animal
166,100073513,Yellow,13-20,18,0,LRRC69,-,-,Ensembl:ENSOANG00000029483,4,leucine rich repeat containing 69,protein-coding,leucine-rich repeat-containing protein 69,Animal
167,100073515,Red,21-28,22,1,MCCC1,-,-,Ensembl:ENSOANG00000011253,1,methylcrotonoyl-CoA carboxylase 1,protein-coding,"methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial|methylcrotonoyl-CoA carboxylase 1 (alpha)",Animal
168,100073516,Red,21-28,23,1,RAB23,-,-,Ensembl:ENSOANG00000036074,1,"RAB23, member RAS oncogene family",protein-coding,ras-related protein Rab-23,Animal
169,100073517,Red,5-12,10,1,DDB1,-,-,Ensembl:ENSOANG00000004897,3,damage specific DNA binding protein 1,protein-coding,"DNA damage-binding protein 1|damage-specific DNA binding protein 1, 127kDa",Animal
170,100073518,Green,13-20,20,1,LOC100073518,-,-,Ensembl:ENSOANG00000000565,11,metallothionein-4,protein-coding,metallothionein-4,Animal
171,100073519,Yellow,21-28,24,0,RHOA,-,-,Ensembl:ENSOANG00000013807,X1,ras homolog family member A,protein-coding,transforming protein RhoA,Animal
172,100073520,Yellow,13-20,13,1,ORNANAV1R-PS4121,-,-,Ensembl:ENSOANG00000001229,Un,vomeronasal 1 receptor ornAnaV1R-ps4121 pseudogene,pseudo,-,Animal
173,100073522,Red,13-20,19,0,LAPTM4A,-,-,Ensembl:ENSOANG00000001105,9,lysosomal protein transmembrane 4 alpha,protein-coding,lysosomal-associated transmembrane protein 4A,Animal
174,100073523,Green,21-28,27,1,CIDEA,-,-,-,5,cell death inducing DFFA like effector a,protein-coding,cell death activator CIDE-A,Animal
175,100073524,Yellow,13-20,15,1,BZW1,-,-,Ensembl:ENSOANG00000010824,7,basic leucine zipper and W2 domains 1,protein-coding,basic leucine zipper and W2 domain-containing protein 1,Animal
176,100073525,Yellow,21-28,25,1,NUDCD2,-,-,-,X1,NudC domain containing 2,protein-coding,nudC domain-containing protein 2,Animal
177,100073526,Yellow,5-12,5,1,LOC100073526,-,CNTN3,Ensembl:ENSOANG00000021376,X1,contactin-3,protein-coding,contactin-3|contactin 3 (plasmacytoma associated),Animal
178,100073527,Yellow,13-20,13,0,KLF9,-,-,Ensembl:ENSOANG00000005024,X5,Kruppel like factor 9,protein-coding,Krueppel-like factor 9,Animal
179,100073528,Red,5-12,6,1,CDC37L1,-,-,Ensembl:ENSOANG00000001511,X5,cell division cycle 37 like 1,protein-coding,hsp90 co-chaperone Cdc37-like 1,Animal
180,100073529,Green,21-28,24,1,RRM2,-,-,Ensembl:ENSOANG00000005507,1,ribonucleotide reductase regulatory subunit M2,protein-coding,ribonucleoside-diphosphate reductase subunit M2|ribonucleotide reductase M2,Animal
181,100073530,Yellow,5-12,6,1,IL6ST,-,-,Ensembl:ENSOANG00000005447,10,interleukin 6 signal transducer,protein-coding,"interleukin-6 receptor subunit beta|interleukin 6 signal transducer (gp130, oncostatin M receptor)",Animal
182,100073531,Green,5-12,10,1,TEX264,-,-,Ensembl:ENSOANG00000040502,X2,"testis expressed 264, ER-phagy receptor",protein-coding,testis-expressed protein 264|testis expressed 264,Animal
183,100073532,Green,13-20,17,1,GABPB1,-,GABPAP,Ensembl:ENSOANG00000006878,5,GA binding protein transcription factor subunit beta 1,protein-coding,"GA-binding protein subunit beta-1|GA binding protein transcription factor beta subunit 1|GA binding protein transcription factor, alpha subunit pseudogene",Animal
184,100073533,Red,5-12,7,0,PLK1,-,-,Ensembl:ENSOANG00000007668,2,polo like kinase 1,protein-coding,serine/threonine-protein kinase PLK1,Animal
185,100073534,Yellow,21-28,25,1,LOC100073534,-,-,Ensembl:ENSOANG00000007405,3,"actin, aortic smooth muscle-like",protein-coding,"actin, aortic smooth muscle-like",Animal
186,100073535,Yellow,21-28,26,1,TNS3,-,-,Ensembl:ENSOANG00000003084,4,tensin 3,protein-coding,tensin-3,Animal
187,100073537,Yellow,13-20,17,1,TRPC5,-,-,Ensembl:ENSOANG00000002401,6,transient receptor potential cation channel subfamily C member 5,protein-coding,short transient receptor potential channel 5,Animal
188,100073538,Yellow,21-28,28,1,KCTD1,-,-,-,7,potassium channel tetramerization domain containing 1,protein-coding,BTB/POZ domain-containing protein KCTD1,Animal
189,100073539,Red,13-20,13,1,POU3F4,-,-,-,6,POU class 3 homeobox 4,protein-coding,"POU domain, class 3, transcription factor 4",Animal
190,100073541,Yellow,13-20,16,1,MYL10,-,-,Ensembl:ENSOANG00000022693,17,myosin light chain 10,protein-coding,myosin regulatory light chain 10,Animal
191,100073544,Yellow,13-20,15,1,LOC100073544,-,-,-,X3,vomeronasal type-2 receptor 26-like,pseudo,-,Animal
192,100073547,Red,21-28,27,1,SLC45A1,-,-,Ensembl:ENSOANG00000003147,5,solute carrier family 45 member 1,protein-coding,proton-associated sugar transporter A,Animal
193,100073548,Yellow,21-28,26,0,PPFIA2,-,-,Ensembl:ENSOANG00000004850,14,PTPRF interacting protein alpha 2,protein-coding,"liprin-alpha-2|protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2",Animal
194,100073549,Red,21-28,25,1,PSMB10,-,-,Ensembl:ENSOANG00000013843,X1,proteasome 20S subunit beta 10,protein-coding,"proteasome subunit beta type-10|proteasome (prosome, macropain) subunit, beta type, 10|proteasome subunit beta 10",Animal
195,100073550,Yellow,13-20,14,1,BAP1,-,-,Ensembl:ENSOANG00000003247,X2,BRCA1 associated protein 1,protein-coding,ubiquitin carboxyl-terminal hydrolase BAP1|BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),Animal
196,100073551,Yellow,13-20,17,1,MICAL2,-,MICALCL,Ensembl:ENSOANG00000010397,3,"microtubule associated monooxygenase, calponin and LIM domain containing 2",protein-coding,"F-actin-monooxygenase MICAL2|MICAL C-terminal like|MICAL C-terminal-like protein|microtubule associated monoxygenase, calponin and LIM domain containing 2|protein-methionine sulfoxide oxidase MICAL2",Animal
197,100073555,Yellow,13-20,16,1,SLC5A1,-,-,Ensembl:ENSOANG00000003573,2,solute carrier family 5 member 1,protein-coding,"sodium/glucose cotransporter 1|solute carrier family 5 (sodium/glucose cotransporter), member 1",Animal
198,100073556,Green,5-12,10,1,AHCYL1,-,-,Ensembl:ENSOANG00000005884,7,adenosylhomocysteinase like 1,protein-coding,S-adenosylhomocysteine hydrolase-like protein 1,Animal
199,100073557,Yellow,21-28,22,0,RUVBL1,-,-,Ensembl:ENSOANG00000009107,X1,RuvB like AAA ATPase 1,protein-coding,ruvB-like 1,Animal
200,100073558,Yellow,13-20,15,1,MFSD4B,-,KIAA1919,Ensembl:ENSOANG00000000638,19,major facilitator superfamily domain containing 4B,protein-coding,sodium-dependent glucose transporter 1,Animal
201,100073559,Yellow,21-28,26,0,YTHDF1,-,-,Ensembl:ENSOANG00000003723,8,YTH N6-methyladenosine RNA binding protein 1,protein-coding,"YTH domain-containing family protein 1|YTH domain family, member 1",Animal
202,100073560,Red,13-20,20,1,TMEM263,-,-,Ensembl:ENSOANG00000048951,14,transmembrane protein 263,protein-coding,transmembrane protein 263,Animal
203,100073563,Yellow,21-28,26,1,LOC100073563,-,-,Ensembl:ENSOANG00000000366,6,ceramide kinase-like,protein-coding,ceramide kinase-like,Animal
204,100073564,Red,5-12,11,1,DLG5,-,-,Ensembl:ENSOANG00000001726,3,discs large MAGUK scaffold protein 5,protein-coding,"disks large homolog 5|discs, large homolog 5",Animal
205,100073566,Yellow,21-28,23,0,LOC100073566,-,-,-,11,metallothionein-like,protein-coding,metallothionein-like,Animal
206,100073567,Yellow,21-28,28,1,GPX1,-,-,-,X1,glutathione peroxidase 1,protein-coding,glutathione peroxidase 1,Animal
207,100073568,Yellow,5-12,10,1,MLIP,-,-,Ensembl:ENSOANG00000037357,1,muscular LMNA interacting protein,protein-coding,muscular LMNA-interacting protein,Animal
208,100073569,Yellow,21-28,25,0,LOC100073569,-,RNASE4,-,13,ribonuclease 4,protein-coding,"ribonuclease 4|ribonuclease, RNase A family, 4",Animal
209,100073571,Green,13-20,16,1,ATP6V0D2,-,-,Ensembl:ENSOANG00000005792,4,ATPase H+ transporting V0 subunit d2,protein-coding,V-type proton ATPase subunit d 2,Animal
210,100073572,Red,5-12,8,1,PIGX,-,-,-,1,phosphatidylinositol glycan anchor biosynthesis class X,protein-coding,phosphatidylinositol-glycan biosynthesis class X protein,Animal
211,100073573,Yellow,5-12,12,1,CCNG1,-,-,Ensembl:ENSOANG00000003604,X1,cyclin G1,protein-coding,cyclin-G1,Animal
212,100073575,Yellow,5-12,10,1,AK3,-,-,Ensembl:ENSOANG00000001505,X5,adenylate kinase 3,protein-coding,"GTP:AMP phosphotransferase AK3, mitochondrial",Animal
213,100073576,Yellow,21-28,27,1,MRPS22,-,-,Ensembl:ENSOANG00000037094,1,mitochondrial ribosomal protein S22,protein-coding,"28S ribosomal protein S22, mitochondrial",Animal
214,100073578,Yellow,21-28,23,0,USP8,-,-,Ensembl:ENSOANG00000006879,5,ubiquitin specific peptidase 8,protein-coding,ubiquitin carboxyl-terminal hydrolase 8,Animal
215,100073579,Yellow,5-12,10,1,DCTN5,-,-,Ensembl:ENSOANG00000007670,2,dynactin subunit 5,protein-coding,dynactin subunit 5|dynactin 5 (p25),Animal
216,100073580,Yellow,21-28,25,1,CAPRIN1,-,-,Ensembl:ENSOANG00000007402,3,cell cycle associated protein 1,protein-coding,caprin-1,Animal
217,100073583,Yellow,13-20,19,1,CLCC1,-,-,Ensembl:ENSOANG00000014490,4,chloride channel CLIC like 1,protein-coding,chloride channel CLIC-like protein 1,Animal
218,100073584,Yellow,13-20,19,0,PAK3,-,-,Ensembl:ENSOANG00000002406,6,p21 (RAC1) activated kinase 3,protein-coding,serine/threonine-protein kinase PAK 3,Animal
219,100073586,Yellow,13-20,17,1,AADAC,-,-,Ensembl:ENSOANG00000009529,1,arylacetamide deacetylase,protein-coding,arylacetamide deacetylase,Animal
220,100073587,Yellow,13-20,15,1,WWOX,-,-,-,X2,WW domain containing oxidoreductase,protein-coding,WW domain-containing oxidoreductase,Animal
221,100073591,Red,5-12,7,1,ORNANAV1R-PS3644,-,-,-,15,vomeronasal 1 receptor ornAnaV1R-ps3644 pseudogene,pseudo,-,Animal
222,100073593,Red,21-28,27,1,PTPN9,-,-,Ensembl:ENSOANG00000002784,5,protein tyrosine phosphatase non-receptor type 9,protein-coding,tyrosine-protein phosphatase non-receptor type 9,Animal
223,100073594,Yellow,21-28,26,1,LOC100073594,-,-,Ensembl:ENSOANG00000046913,X1,core histone macro-H2A.1,protein-coding,core histone macro-H2A.1,Animal
224,100073596,Red,5-12,7,1,RERE,-,-,-,5,arginine-glutamic acid dipeptide repeats,protein-coding,arginine-glutamic acid dipeptide repeats protein,Animal
225,100073598,Yellow,21-28,24,1,LOC100073598,-,-,-,X1,C3a anaphylatoxin chemotactic receptor-like,protein-coding,C3a anaphylatoxin chemotactic receptor-like,Animal
226,100073599,Red,5-12,5,0,METTL4,-,-,Ensembl:ENSOANG00000010844,5,methyltransferase like 4,protein-coding,methyltransferase-like protein 4,Animal
227,100073600,Green,21-28,28,1,SNW1,-,-,Ensembl:ENSOANG00000010842,1,SNW domain containing 1,protein-coding,SNW domain-containing protein 1,Animal
228,100073603,Yellow,5-12,11,1,LOC100073603,-,-,Ensembl:ENSOANG00000013408,3,ligand-dependent corepressor,protein-coding,ligand-dependent corepressor,Animal
229,100073604,Red,21-28,24,0,TECTA,-,-,Ensembl:ENSOANG00000006272,11,tectorin alpha,protein-coding,alpha-tectorin,Animal
230,100073605,Green,5-12,6,1,POU4F1,-,-,-,10,POU class 4 homeobox 1,protein-coding,"POU domain, class 4, transcription factor 1|POU domain, class 4, transcription factor 1-like",Animal
231,100073606,Yellow,13-20,13,0,QRICH1,-,-,Ensembl:ENSOANG00000010904,X1,glutamine rich 1,protein-coding,glutamine-rich protein 1,Animal
232,100073607,Green,13-20,19,1,EEF1A2,-,-,Ensembl:ENSOANG00000038015,8,eukaryotic translation elongation factor 1 alpha 2,protein-coding,elongation factor 1-alpha 2,Animal
233,100073608,Green,21-28,25,1,NLGN1,-,-,-,1,neuroligin 1,protein-coding,LOW QUALITY PROTEIN: neuroligin-1|neuroligin-1 pseudogene,Animal
234,100073609,Yellow,5-12,10,1,LOC100073609,-,-,Ensembl:ENSOANG00000001493,X2,ankyrin repeat and KH domain-containing protein 1-like,protein-coding,ankyrin repeat and KH domain-containing protein 1-like,Animal
235,100073611,Red,13-20,20,1,PRDM4,-,-,Ensembl:ENSOANG00000005526,14,PR/SET domain 4,protein-coding,PR domain zinc finger protein 4|PR domain containing 4,Animal
236,100073612,Yellow,13-20,19,0,MS4A15,-,-,Ensembl:ENSOANG00000014339,3,membrane spanning 4-domains A15,protein-coding,membrane-spanning 4-domains subfamily A member 15|membrane-spanning 4-domains subfamily A member 15-like,Animal
237,100073613,Red,21-28,28,1,IKBKG,-,-,Ensembl:ENSOANG00000000364,6,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,protein-coding,"NF-kappa-B essential modulator|inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma|inhibitor of nuclear factor kappa B kinase subunit gamma",Animal
238,100073614,Yellow,21-28,22,1,DCUN1D1,-,-,Ensembl:ENSOANG00000011254,1,defective in cullin neddylation 1 domain containing 1,protein-coding,"DCN1-like protein 1|DCN1, defective in cullin neddylation 1, domain containing 1",Animal
239,100073615,Yellow,13-20,18,1,RIPOR3,-,FAM65C,Ensembl:ENSOANG00000008677,8,RIPOR family member 3,protein-coding,RIPOR family member 3|family with sequence similarity 65 member C,Animal
240,100073616,Yellow,21-28,26,1,NUP93,-,-,Ensembl:ENSOANG00000013754,11,nucleoporin 93,protein-coding,nuclear pore complex protein Nup93,Animal
241,100073617,Red,13-20,14,1,USP4,-,-,Ensembl:ENSOANG00000013806,X1,ubiquitin specific peptidase 4,protein-coding,ubiquitin carboxyl-terminal hydrolase 4|ubiquitin specific peptidase 4 (proto-oncogene),Animal
242,100073618,Red,21-28,21,0,TINAG,-,-,Ensembl:ENSOANG00000003592,1,tubulointerstitial nephritis antigen,protein-coding,tubulointerstitial nephritis antigen,Animal
243,100073619,Yellow,13-20,14,0,RMI1,-,-,Ensembl:ENSOANG00000010899,X5,RecQ mediated genome instability 1,protein-coding,recQ-mediated genome instability protein 1,Animal
244,100073620,Yellow,13-20,17,1,TXNL4B,-,-,Ensembl:ENSOANG00000039551,11,thioredoxin like 4B,protein-coding,thioredoxin-like protein 4B,Animal
245,100073621,Yellow,13-20,20,0,LOC100073621,-,CNBP,Ensembl:ENSOANG00000045625,Un,cellular nucleic acid-binding protein,protein-coding,cellular nucleic acid-binding protein|CCHC-type zinc finger nucleic acid binding protein,Animal
246,100073622,Green,13-20,19,1,ESRP2,-,-,Ensembl:ENSOANG00000010972,X1,epithelial splicing regulatory protein 2,protein-coding,epithelial splicing regulatory protein 2,Animal
247,100073623,Yellow,21-28,27,1,SMC5,-,-,Ensembl:ENSOANG00000005025,X5,structural maintenance of chromosomes 5,protein-coding,structural maintenance of chromosomes protein 5,Animal
248,100073625,Yellow,21-28,26,1,PALB2,-,-,Ensembl:ENSOANG00000007671,2,partner and localizer of BRCA2,protein-coding,partner and localizer of BRCA2,Animal
249,100073626,Red,13-20,20,1,ABTB2,-,-,Ensembl:ENSOANG00000007399,3,ankyrin repeat and BTB domain containing 2,protein-coding,ankyrin repeat and BTB/POZ domain-containing protein 2|ankyrin repeat and BTB (POZ) domain containing 2,Animal
250,100073628,Green,21-28,28,0,CAMSAP2,-,-,Ensembl:ENSOANG00000004007,4,calmodulin regulated spectrin associated protein family member 2,protein-coding,calmodulin-regulated spectrin-associated protein 2,Animal
251,100073629,Yellow,21-28,27,1,LOC100073629,-,RNF122|TTI2,Ensembl:ENSOANG00000002393,5,RING finger protein 122,protein-coding,RING finger protein 122|TELO2-interacting protein 2|uncharacterized protein LOC100073629|TELO2 interacting protein 2,Animal
252,100073630,Yellow,21-28,22,1,ACSL4,-,-,Ensembl:ENSOANG00000011439,6,acyl-CoA synthetase long chain family member 4,protein-coding,long-chain-fatty-acid--CoA ligase 4,Animal
253,100073632,Red,13-20,17,1,RTF1,-,-,Ensembl:ENSOANG00000037327,13,"RTF1 homolog, Paf1/RNA polymerase II complex component",protein-coding,"RNA polymerase-associated protein RTF1 homolog|Rtf1, Paf1/RNA polymerase II complex component, homolog",Animal
254,100073635,Red,21-28,21,0,LOC100073635,-,-,-,2,olfactory receptor 51I2-like,protein-coding,olfactory receptor 51I2-like,Animal
255,100073636,Green,21-28,21,0,ORNANAV1R3191,-,-,Ensembl:ENSOANG00000049354,15,vomeronasal 1 receptor ornAnaV1R3191,protein-coding,vomeronasal 1 receptor ornAnaV1R3191,Animal
256,100073639,Yellow,21-28,28,1,PCNX2,-,PCNXL2,Ensembl:ENSOANG00000006841,19,pecanex 2,protein-coding,pecanex-like protein 2|pecanex-like 2,Animal
257,100073640,Yellow,21-28,22,1,DNAH1,-,-,Ensembl:ENSOANG00000041553,X2,dynein axonemal heavy chain 1,protein-coding,"dynein heavy chain 1, axonemal",Animal
258,100073642,Yellow,21-28,21,1,ADCK1,-,-,Ensembl:ENSOANG00000046032,1,aarF domain containing kinase 1,protein-coding,uncharacterized aarF domain-containing protein kinase 1,Animal
259,100073644,Red,21-28,26,1,CDH19,-,-,Ensembl:ENSOANG00000014968,5,cadherin 19,protein-coding,cadherin-19,Animal
260,100073645,Red,21-28,27,1,STRIP1,-,-,Ensembl:ENSOANG00000005885,7,striatin interacting protein 1,protein-coding,striatin-interacting protein 1,Animal
